V_Size,Pair_ID,Algorithm,Cost,Mean_Time,StdDev_Time,Mean_Expansions,StdDev_Expansions
100,0,Dijkstra,19.781133256870795,0.000000,0.000000,16.0,0.0
100,1,Dijkstra,102.71476745744518,0.000000,0.000000,105.0,0.0
100,2,Dijkstra,62.15127294876227,0.000000,0.000000,66.0,0.0
100,3,Dijkstra,35.31851678647227,0.000000,0.000000,16.0,0.0
100,4,Dijkstra,36.0188337501846,0.000000,0.000000,25.0,0.0
100,5,Dijkstra,115.15664657611757,0.000000,0.000000,110.0,0.0
100,6,Dijkstra,31.788199768291094,0.000000,0.000000,21.0,0.0
100,7,Dijkstra,34.56102818203466,0.000000,0.000000,23.0,0.0
100,8,Dijkstra,77.19430140279279,0.000000,0.000000,59.0,0.0
100,9,Dijkstra,45.39096158344874,0.000000,0.000000,24.0,0.0
100,0,A*,19.781133256870795,0.000000,0.000000,4.0,0.0
100,1,A*,102.71476745744518,0.000000,0.000000,22.0,0.0
100,2,A*,62.15127294876227,0.000000,0.000000,9.0,0.0
100,3,A*,35.31851678647227,0.000000,0.000000,9.0,0.0
100,4,A*,36.0188337501846,0.000000,0.000000,6.0,0.0
100,5,A*,inf,0.000000,0.000000,16.0,0.0
100,6,A*,31.788199768291094,0.000000,0.000000,5.0,0.0
100,7,A*,34.56102818203466,0.000000,0.000000,7.0,0.0
100,8,A*,77.19430140279279,0.000000,0.000000,20.0,0.0
100,9,A*,45.39096158344874,0.000000,0.000000,6.0,0.0
100,0,D* Lite,19.781133256870795,0.005208,0.009021,4.0,0.0
100,1,D* Lite,102.71476745744518,0.000000,0.000000,22.0,0.0
100,2,D* Lite,62.15127294876227,0.000000,0.000000,9.0,0.0
100,3,D* Lite,35.31851678647227,0.000000,0.000000,9.0,0.0
100,4,D* Lite,36.0188337501846,0.000000,0.000000,6.0,0.0
100,5,D* Lite,inf,0.000000,0.000000,16.0,0.0
100,6,D* Lite,31.788199768291094,0.000000,0.000000,5.0,0.0
100,7,D* Lite,34.56102818203466,0.000000,0.000000,7.0,0.0
100,8,D* Lite,77.19430140279279,0.000000,0.000000,20.0,0.0
100,9,D* Lite,45.39096158344874,0.000000,0.000000,6.0,0.0
500,0,Dijkstra,58.50015385150261,0.000000,0.000000,349.0,0.0
500,1,Dijkstra,38.5200337991321,0.000000,0.000000,182.0,0.0
500,2,Dijkstra,95.21729908907663,0.000000,0.000000,468.0,0.0
500,3,Dijkstra,68.3580574276624,0.005208,0.009021,318.0,0.0
500,4,Dijkstra,72.74981565308855,0.000000,0.000000,235.0,0.0
500,5,Dijkstra,39.12591213901201,0.000000,0.000000,130.0,0.0
500,6,Dijkstra,45.2835717685682,0.000000,0.000000,167.0,0.0
500,7,Dijkstra,74.53035932896385,0.000000,0.000000,444.0,0.0
500,8,Dijkstra,23.513490679755257,0.000000,0.000000,67.0,0.0
500,9,Dijkstra,101.3369518731917,0.000000,0.000000,451.0,0.0
500,0,A*,58.50015385150261,0.000000,0.000000,49.0,0.0
500,1,A*,38.5200337991321,0.000000,0.000000,21.0,0.0
500,2,A*,95.21729908907663,0.000000,0.000000,54.0,0.0
500,3,A*,68.3580574276624,0.005208,0.009021,70.0,0.0
500,4,A*,72.74981565308855,0.000000,0.000000,76.0,0.0
500,5,A*,inf,0.000000,0.000000,17.0,0.0
500,6,A*,45.2835717685682,0.000000,0.000000,21.0,0.0
500,7,A*,74.53035932896385,0.000000,0.000000,95.0,0.0
500,8,A*,23.513490679755257,0.000000,0.000000,8.0,0.0
